Company Name,Franchise sinds,Aantal vestigingen,Waarvan franchise ,Totale investering ,Eigen vermogen ,Main Url
Eetwinkel,2014,25,25,€ 250.000,,https://franchiseplus.nl/franchiseformule/eetwinkel
eazie,2007,17,14,€ 300.000,€ 75.000,https://franchiseplus.nl/franchiseformule/eazie
Easy2Drive,2017,14,14,€ 0,€ 0,https://franchiseplus.nl/franchiseformule/easy2drive
Dstrezzed,2017,5,4,€ 20.000,,https://franchiseplus.nl/franchiseformule/dstrezzed
DSR food,2005,33,33,€ 1.000,€ 0,https://franchiseplus.nl/franchiseformule/dsr-food
DROGIST Bewust Beter,1981,112,,€ 80.000,€ 30.000,https://franchiseplus.nl/franchiseformule/drogist-bewust-beter
Dreamplafonds,,1,0,€ 45.000,€ 22.500,https://franchiseplus.nl/franchiseformule/dreamplafonds
Douglas,2012,120,19,€ 350.000,,https://franchiseplus.nl/franchiseformule/douglas
Dorsoo,2009,9,1,€ 100.000,,https://franchiseplus.nl/franchiseformule/dorsoo
DOOR Training & Coaching,1981,64,11,,€ 2.000,https://franchiseplus.nl/franchiseformule/door-training-coaching
DokterBed,2011,9,9,€ 12.000,€ 6.000,https://franchiseplus.nl/franchiseformule/dokterbed
Dockers & Co,1994,6,6,€ 135.000,,https://franchiseplus.nl/franchiseformule/dockers-co
Discus,1965,108,108,,,https://franchiseplus.nl/franchiseformule/discus
DiGusti,2010,,,,,https://franchiseplus.nl/franchiseformule/digusti
Dierspecialist,2003,80,80,,,https://franchiseplus.nl/franchiseformule/dierspecialist
DierenDokters,2005,14,13,€ 350.000,€ 50.000,https://franchiseplus.nl/franchiseformule/dierendokters
Demarrage Fietskoeriers,2004,4,4,€ 2.000,€ 2.000,https://franchiseplus.nl/franchiseformule/demarrage-fietskoeriers
Decorette,1972,50,50,€ 50.000,€ 25.000,https://franchiseplus.nl/franchiseformule/decorette
Decokay,,45,45,€ 120.000,€ 55.000,https://franchiseplus.nl/franchiseformule/decokay
Deco Home,1989,32,32,€ 200.000,€ 15.000,https://franchiseplus.nl/franchiseformule/deco-home
De Woonspecialist,2017,20,20,,,https://franchiseplus.nl/franchiseformule/woonspecialist
De Witgoedspecialist,,50,50,,,https://franchiseplus.nl/franchiseformule/witgoedspecialist
De Verleiding,,5,,,,https://franchiseplus.nl/franchiseformule/verleiding
De Vastgoed Experts,2015,2,1,€ 10.000,€ 10.000,https://franchiseplus.nl/franchiseformule/vastgoed-experts
De Vakman,2004,41,40,€ 10.000,€ 1.500,https://franchiseplus.nl/franchiseformule/vakman
De Spareribs Specialist,2010,8,8,€ 1.500,€ 0,https://franchiseplus.nl/franchiseformule/spareribs-specialist
De Senioren verhuizer,,,,,,https://franchiseplus.nl/franchiseformule/senioren-verhuizer
De ScheidingsMakelaar,2003,20,20,,,https://franchiseplus.nl/franchiseformule/scheidingsmakelaar
De Preventie Experts,2011,,,,,https://franchiseplus.nl/franchiseformule/preventie-experts
De Pannekoekenbakker,1985,15,15,€ 325.000,€ 70.000,https://franchiseplus.nl/franchiseformule/pannekoekenbakker
De Leadergroep,2003,,,,,https://franchiseplus.nl/franchiseformule/leadergroep
De KoffieMeulen,2016,3,2,€ 130.000,,https://franchiseplus.nl/franchiseformule/koffiemeulen
De Klussenier,2003,180,,,,https://franchiseplus.nl/franchiseformule/klussenier
De Kaaskoerier,,13,13,€ 4.500,€ 4.500,https://franchiseplus.nl/franchiseformule/kaaskoerier
De Hypotheker,,167,167,,,https://franchiseplus.nl/franchiseformule/hypotheker
De Hypotheekshop,1991,162,162,,,https://franchiseplus.nl/franchiseformule/hypotheekshop
De Huurwoning Bemiddelaar,2016,3,2,,€ 5.000,https://franchiseplus.nl/franchiseformule/huurwoning-bemiddelaar
De Huizenbemiddelaar,2006,48,47,,,https://franchiseplus.nl/franchiseformule/huizenbemiddelaar
De Groene Weg,1981,12,10,€ 200.000,€ 50.000,https://franchiseplus.nl/franchiseformule/groene-weg
De Diepvriesman,1993,35,19,€ 50,€ 15.000,https://franchiseplus.nl/franchiseformule/diepvriesman
De Budgeteer,2005,16,16,€ 5.000,€ 5.000,https://franchiseplus.nl/franchiseformule/budgeteer
De Beren restaurants,2000,41,36,,,https://franchiseplus.nl/franchiseformule/beren-restaurants
De Beren bezorgrestaurants,2001,20,19,€ 250.000,,https://franchiseplus.nl/franchiseformule/beren-bezorgrestaurants
De Ballebak,2011,4,4,,€ 120.000,https://franchiseplus.nl/franchiseformule/ballebak
